scenario,plan,seed,execution_time,timeout
0,1,2,7.234595775604248,600
0,2,4,11.430944204330444,600
0,3,6,8.18262767791748,600
0,4,8,9.464137315750122,600
0,5,10,8.613152742385864,600
1,1,12,211.07982730865479,600
1,2,14,206.17848944664001,600
1,3,16,202.16641211509705,600
1,4,18,200.70976877212524,600
1,5,20,210.14584684371948,600
2,1,22,213.60746049880981,600
2,2,24,196.10541462898254,600
2,3,26,208.38028836250305,600
2,4,28,221.63398218154907,600
2,5,30,203.25202679634094,600
3,1,32,239.82974815368652,600
3,2,34,294.92315316200256,600
3,3,36,265.8175082206726,600
3,4,38,256.6647598743439,600
3,5,40,260.1546392440796,600
4,1,42,262.3084077835083,600
4,2,44,239.93167972564697,600
4,3,46,241.12264156341553,600
4,4,48,271.4154016971588,600
4,5,50,277.38464856147766,600
5,1,52,225.18009209632874,600
5,2,54,12.8577880859375,600
5,3,56,236.76290917396545,600
5,4,58,224.3026988506317,600
5,5,60,224.84822273254395,600
6,1,62,61.186954736709595,600
6,2,64,62.035165548324585,600
6,3,66,60.956093072891235,600
6,4,68,61.31573128700256,600
6,5,70,60.717225790023804,600